SolarParam,EarthParam,Pearson_r,R_squared,LinReg_R2,Min_p_Granger
BX,AE,-0.0198,0.0004,0.0004,0.0001
BX,SYM_H,0.0001,0.0,0.0,0.0004
BX,ASY_H,-0.0182,0.0003,0.0003,0.0
BX,PCN,-0.0015,0.0,0.0,0.023
BY,AE,0.0286,0.0008,0.0008,0.0
BY,SYM_H,-0.0044,0.0,0.0,0.0
BY,ASY_H,0.0408,0.0017,0.0017,0.0
BY,PCN,0.0335,0.0011,0.0011,0.0
BZ,AE,-0.4244,0.1801,0.1801,0.0
BZ,SYM_H,0.2794,0.0781,0.0781,0.0
BZ,ASY_H,-0.293,0.0859,0.0859,0.0
BZ,PCN,-0.4799,0.2303,0.2303,0.0
Speed,AE,0.3948,0.1558,0.1558,0.0
Speed,SYM_H,-0.4327,0.1872,0.1872,0.0
Speed,ASY_H,0.3156,0.0996,0.0996,0.0
Speed,PCN,0.3383,0.1144,0.1144,0.0
Vx,AE,-0.3931,0.1545,0.1545,0.0
Vx,SYM_H,0.4319,0.1865,0.1865,0.0
Vx,ASY_H,-0.3136,0.0983,0.0983,0.0
Vx,PCN,-0.3368,0.1135,0.1135,0.0
Density,AE,0.0497,0.0025,0.0025,0.0
Density,SYM_H,0.2282,0.0521,0.0521,0.0
Density,ASY_H,0.1069,0.0114,0.0114,0.0
Density,PCN,0.0475,0.0023,0.0023,0.0
Temperature,AE,0.3252,0.1057,0.1057,0.0
Temperature,SYM_H,-0.2753,0.0758,0.0758,0.0
Temperature,ASY_H,0.2724,0.0742,0.0742,0.0
Temperature,PCN,0.2801,0.0784,0.0784,0.0
FlowPressure,AE,0.3022,0.0914,0.0914,0.0
FlowPressure,SYM_H,-0.0492,0.0024,0.0024,0.0
FlowPressure,ASY_H,0.3468,0.1203,0.1203,0.0
FlowPressure,PCN,0.275,0.0756,0.0756,0.0
ElectricField,AE,0.4213,0.1775,0.1775,0.0
ElectricField,SYM_H,-0.2726,0.0743,0.0743,0.0
ElectricField,ASY_H,0.3024,0.0914,0.0914,0.0
ElectricField,PCN,0.4762,0.2267,0.2267,0.0
PlasmaBeta,AE,-0.0888,0.0079,0.0079,0.0
PlasmaBeta,SYM_H,0.1211,0.0147,0.0147,0.0
PlasmaBeta,ASY_H,-0.0773,0.006,0.006,0.0
PlasmaBeta,PCN,-0.0737,0.0054,0.0054,0.0
